,est,se
0,0.9136620155997388,0.0885231
1,0.9689076430110819,0.08528653
2,0.8674189567671432,0.09186309
3,0.7576949320372136,0.09041818
4,0.6257110286776949,0.09395899
5,0.6390502757097984,0.094351426
6,0.7456448801087521,0.086468
7,0.22768080909799948,0.06401843
8,0.20875321286131662,0.060381662
9,0.23192727163973692,0.06670714
10,0.23203322762855036,0.06620909
11,0.15187886657546587,0.037307918
12,0.05456433147704684,0.03175896
13,0.24009214419036948,0.046580434
14,0.27298720730332593,0.07122487
15,0.09533278885940817,0.054451562
16,0.4780809609015474,0.08930742
17,0.09689770374280708,0.055626567
18,0.15987514188446175,0.055842485
19,0.46880184990161905,0.090812184
20,0.08039911602347148,0.05725921
21,0.28058955557414084,0.07044838
22,0.03474140863274428,0.043007754
23,0.34930664916393794,0.074749164
24,0.4347315589442755,0.08075916
25,0.11611465953273203,0.053297512
26,0.3106256358052089,0.067175746
27,0.30486003583200816,0.0679943
28,0.5001087345183152,0.14683618
29,0.6709869106838072,0.31656712
30,2.711479283726754,0.8311774
