,est,se
0,0.913678104868556,0.08836922
1,0.9665443807967969,0.08461953
2,0.866282903484299,0.09129783
3,0.7583355742881956,0.090535514
4,0.6331969700430186,0.094443426
5,0.6412759981481304,0.09517567
6,0.7511298830767752,0.08735671
7,0.15913048178037134,0.10108936
8,0.14618134227873858,0.093637116
9,0.16177690601873917,0.10454258
10,0.16204004266348213,0.104187325
11,0.15183703187611652,0.036712024
12,0.05251549904787594,0.030668985
13,0.2362052620435866,0.045142
14,0.27503646849103186,0.06817747
15,0.09094582692110349,0.0538529
16,0.473338101308133,0.08642195
17,0.09921196293073514,0.052886944
18,0.16160594656563662,0.054595117
19,0.47057040451474025,0.089887425
20,0.07388552190669839,0.057572648
21,0.2806878206363552,0.067410104
22,0.03193161745282772,0.042152938
23,0.34454056330754634,0.071652755
24,0.4356003889804557,0.07877613
25,0.12376685502443534,0.052268203
26,0.3176138811316471,0.067319565
27,0.3090163209913945,0.06711655
28,0.4992418999719479,0.14619018
29,0.9222637543500491,0.6539188
30,4.007100206996575,2.67106
